,Artist,Track,Track_id,Track_popularity,Artist_id,Artist_Popularity,Genres,Followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
134,A.r. rahman,Kaadhalai solla mudiyatha,4WyPaZn24aTEowohl4jHA3,51,1mYsTxnqsietFxj1OgoGbG,51,no specific genre,43428,0.546,0.494,2,-10.597,1,0.0351,0.76,2.46e-06,0.0797,0.268,125.969,4.87
135,Addy,Tum kyu chale aate ho (lofi mix),0yJ1vXLwRjSzeU2WeZoxi7,50,7wtB9U5MCgv8lswwelNUFZ,79,no specific genre,26660301,0.557,0.387,6,-9.416,0,0.0267,0.0279,6.16e-06,0.369,0.153,98.089,2.9
136,Jubin nautiyal,Wafa na raas aayee,7rjFYm6THGNETjg3vb1Tof,50,1tqysapcCh1lWEAc9dIFpa,80,no specific genre,28564011,0.641,0.869,2,-4.024,0,0.0452,0.559,0.0,0.0782,0.558,98.03,4.8
137,Jubin nautiyal,Dil lauta do,1VfUpyKz9uN7et8t6Qhe7v,50,1tqysapcCh1lWEAc9dIFpa,32,no specific genre,442,0.435,0.53,2,-5.922,0,0.0277,0.562,0.0,0.0947,0.334,100.51,5.04
138,Parry sidhu,Tu shayar banaagi,4APdbH7o8nQgnfM7I5snHl,51,6TRoD57nepxtpziVbxDOSs,39,no specific genre,8296,0.715,0.601,11,-5.544,0,0.0919,0.621,0.0,0.11,0.361,87.036,3.33
139,Dj omkar orb,Bharat ka baccha jai shree ram bolega,3lcNtEKiwGv5VuQJXW1KhJ,50,7qrtYgbTIkfPdeD4vLdztr,79,no specific genre,1895651,0.512,0.847,6,-3.857,0,0.0712,0.000403,0.774,0.644,0.405,113.583,5.13
140,Seedhe maut,Nanchaku,6YwiqqQ5xoeUkPwrn9cfEw,50,2oBG74gAocPMFv6Ij9ykdo,76,no specific genre,7124265,0.813,0.664,2,-8.793,1,0.318,0.142,0.0,0.173,0.44,140.103,3.22
141,Gulab sidhu,Jahangir di haveli,4n6e7UDeilgfsskh2S3MgN,51,0OytfiwNkc1KzXE4ImyjgW,76,no specific genre,7124265,0.624,0.669,11,-4.01,0,0.17,0.0387,1.54e-06,0.129,0.469,81.958,3.17
142,Arjan dhillon,Begani raat,0bK2va3t5efTbanNP0HIFi,51,64DvMieEUCdrYKmEIhDt8G,59,no specific genre,212719,0.754,0.49,6,-11.365,1,0.12,0.00763,0.0,0.11,0.531,82.851,3.33
143,Pawan singh,Aara,3ANN2JcxCwZdlR1wd7Li8B,50,1T7MiVJ2MJlR5GKi11w4VT,54,no specific genre,234764,0.812,0.967,10,-2.488,0,0.0606,0.216,2.95e-06,0.652,0.818,123.022,3.21
